observation_id,pos_x,pos_y,pos_window_width,pos_window_height,pos_x2,pos_y2
1,622,324,315,265,937,589
2,103,105,760,572,863,677
3,430,124,277,440,707,564
4,279,96,354,472,633,568
5,601,221,590,466,1191,687
6,515,137,484,331,999,468
7,596,311,453,306,1049,617
8,657,254,156,288,813,542
9,48,201,660,556,708,757
10,216,166,766,434,982,600
11,443,67,726,279,1169,346
12,295,156,191,348,486,504
13,532,210,550,496,1082,706
14,157,35,911,446,1068,481
15,47,224,176,230,223,454
16,174,338,594,310,768,648
17,181,88,631,450,812,538
18,157,180,819,393,976,573
19,211,242,502,276,713,518
20,112,300,777,310,889,610
21,166,167,1183,259,1349,426
22,440,220,481,379,921,599
23,614,2,579,476,1193,478
24,463,21,206,356,669,377
25,556,29,401,243,957,272
26,583,280,204,463,787,743
27,3,267,566,300,569,567
28,355,99,369,206,724,305
29,222,22,307,339,529,361
30,11,242,253,266,264,508
31,598,81,473,544,1071,625
32,223,275,235,315,458,590
33,380,201,966,471,1346,672
34,324,300,270,312,594,612
35,98,136,977,304,1075,440
36,160,146,383,425,543,571
37,198,362,459,285,657,647
38,241,54,286,626,527,680
39,473,258,615,404,1088,662
40,115,233,613,409,728,642
41,361,58,659,211,1020,269
42,437,183,682,200,1119,383
43,67,369,870,240,937,609
44,576,310,279,267,855,577
45,44,202,437,361,481,563
46,262,123,778,288,1040,411
47,351,109,592,550,943,659
48,325,181,320,391,645,572
49,597,96,736,369,1333,465
50,385,70,584,306,969,376
51,277,81,590,291,867,372
52,496,159,846,270,1342,429
53,271,166,402,279,673,445
54,658,102,695,520,1353,622
55,518,222,678,200,1196,422
56,508,49,576,306,1084,355
57,141,315,654,339,795,654
58,306,310,792,414,1098,724
59,521,197,803,245,1324,442
60,602,284,206,332,808,616
61,615,18,504,536,1119,554
62,525,122,246,371,771,493
63,366,29,329,367,695,396
64,363,175,980,546,1343,721
65,327,42,930,323,1257,365
66,268,101,1024,550,1292,651
67,382,205,566,351,948,556
68,432,255,402,212,834,467
69,110,145,637,498,747,643
70,130,257,1033,373,1163,630
71,361,263,379,352,740,615
72,130,85,144,679,274,764
73,603,357,491,346,1094,703
74,222,279,541,361,763,640
75,361,45,580,604,941,649
76,176,272,919,281,1095,553
77,433,382,150,250,583,632
78,140,306,1120,232,1260,538
79,241,311,337,393,578,704
80,603,295,689,298,1292,593
81,109,186,481,401,590,587
82,622,184,372,237,994,421
83,54,60,897,331,951,391
84,106,281,120,486,226,767
85,548,326,426,295,974,621
86,570,26,529,394,1099,420
87,382,252,553,252,935,504
88,533,206,674,368,1207,574
89,212,233,300,480,512,713
90,625,13,138,475,763,488
91,487,8,791,446,1278,454
92,361,317,812,373,1173,690
93,594,369,126,278,720,647
94,147,380,570,267,717,647
95,263,268,1032,210,1295,478
96,344,81,732,497,1076,578
97,169,383,677,303,846,686
98,407,153,510,332,917,485
99,497,362,227,343,724,705
100,309,94,113,207,422,301
101,623,278,516,353,1139,631
102,287,12,910,556,1197,568
103,318,52,505,683,823,735
104,568,182,733,580,1301,762
105,149,49,856,390,1005,439
106,245,375,303,381,548,756
107,405,19,949,453,1354,472
108,366,4,607,720,973,724
109,282,102,850,541,1132,643
110,187,157,821,358,1008,515
111,614,158,624,490,1238,648
112,375,228,877,229,1252,457
113,407,286,772,290,1179,576
114,614,285,342,241,956,526
115,672,310,668,257,1340,567
116,122,10,464,442,586,452
117,233,199,950,482,1183,681
118,633,83,207,426,840,509
119,418,46,371,500,789,546
120,545,18,171,593,716,611
121,206,198,855,482,1061,680
122,203,164,985,438,1188,602
123,216,253,574,424,790,677
124,0,5,376,246,376,251
125,40,374,834,329,874,703
126,232,10,921,380,1153,390
127,483,291,258,204,741,495
128,29,381,1258,311,1287,692
129,342,25,381,721,723,746
130,313,369,168,249,481,618
131,448,121,573,452,1021,573
132,485,355,484,357,969,712
133,3,229,1242,288,1245,517
134,668,121,553,491,1221,612
135,578,254,682,290,1260,544
136,452,115,233,259,685,374
137,400,18,419,323,819,341
138,61,329,1170,316,1231,645
139,464,194,443,268,907,462
140,410,165,415,285,825,450
141,517,269,679,211,1196,480
142,85,127,169,503,254,630
143,235,202,1121,473,1356,675
144,226,53,208,480,434,533
145,175,143,115,377,290,520
146,616,295,523,268,1139,563
147,660,117,207,502,867,619
148,227,180,976,388,1203,568
149,399,25,892,628,1291,653
150,104,337,1040,358,1144,695
151,425,253,662,277,1087,530
152,599,35,716,272,1315,307
153,337,36,197,315,534,351
154,289,303,782,421,1071,724
155,85,21,877,712,962,733
156,431,300,599,360,1030,660
157,678,85,345,559,1023,644
158,288,16,303,296,591,312
159,680,192,146,341,826,533
160,268,145,281,425,549,570
161,545,265,428,317,973,582
162,438,298,245,313,683,611
163,643,357,323,277,966,634
164,70,278,1156,291,1226,569
165,100,313,669,284,769,597
166,166,25,672,670,838,695
167,583,191,140,235,723,426
168,397,224,549,346,946,570
169,458,30,432,235,890,265
170,261,227,205,272,466,499
171,40,17,188,687,228,704
172,93,72,1126,465,1219,537
173,209,37,973,642,1182,679
174,397,19,945,683,1342,702
175,12,250,246,446,258,696
176,567,380,116,205,683,585
177,377,375,899,208,1276,583
178,463,112,101,273,564,385
179,676,92,497,336,1173,428
180,45,370,646,260,691,630
181,34,63,1063,515,1097,578
182,285,140,777,551,1062,691
183,104,306,158,234,262,540
184,255,24,148,603,403,627
185,528,225,721,286,1249,511
186,0,12,1029,240,1029,252
187,319,63,226,700,545,763
188,187,365,755,333,942,698
189,669,133,498,347,1167,480
190,500,91,773,657,1273,748
191,516,237,723,292,1239,529
192,528,276,205,437,733,713
193,111,207,342,411,453,618
194,90,21,515,322,605,343
195,276,91,163,398,439,489
196,355,127,808,544,1163,671
197,558,256,421,216,979,472
198,489,379,657,213,1146,592
199,586,287,338,282,924,569
200,156,347,951,213,1107,560
